Estado,Registros,Ano,Mês,Região
Acre,2524,2015,NA,Todas
Alagoas,7000,2015,NA,Todas
Amapá,1989,2015,NA,Todas
Amazonas,2542,2015,NA,Todas
Bahia,28580,2015,NA,Todas
Ceará,8169,2015,NA,Todas
Distrito Federal,13897,2015,NA,Todas
Espírito Santo,22555,2015,NA,Todas
Goiás,23143,2015,NA,Todas
Maranhão,2036,2015,NA,Todas
Mato Grosso,15713,2015,NA,Todas
Mato Grosso do Sul,7533,2015,NA,Todas
Minas Gerais,119590,2015,NA,Todas
Paraná,71379,2015,NA,Todas
Paraíba,17843,2015,NA,Todas
Pará,3805,2015,NA,Todas
Pernambuco,50480,2015,NA,Todas
Piauí,2669,2015,NA,Todas
Rio Grande do Norte,3945,2015,NA,Todas
Rio Grande do Sul,32624,2015,NA,Todas
Rio de Janeiro,12550,2015,NA,Todas
Rondônia,5482,2015,NA,Todas
Roraima,870,2015,NA,Todas
Santa Catarina,29671,2015,NA,Todas
Sergipe,11112,2015,NA,Todas
São Paulo,286739,2015,NA,Todas
Tocantins,2860,2015,NA,Todas
Acre,2486,2016,NA,Todas
Alagoas,10560,2016,NA,Todas
Amapá,1888,2016,NA,Todas
Amazonas,3768,2016,NA,Todas
Bahia,31135,2016,NA,Todas
Ceará,26640,2016,NA,Todas
Distrito Federal,13983,2016,NA,Todas
Espírito Santo,23296,2016,NA,Todas
Goiás,24639,2016,NA,Todas
Maranhão,5121,2016,NA,Todas
Mato Grosso,14953,2016,NA,Todas
Mato Grosso do Sul,14609,2016,NA,Todas
Minas Gerais,134607,2016,NA,Todas
Paraná,75250,2016,NA,Todas
Paraíba,21268,2016,NA,Todas
Pará,10526,2016,NA,Todas
Pernambuco,56746,2016,NA,Todas
Piauí,7075,2016,NA,Todas
Rio Grande do Norte,7957,2016,NA,Todas
Rio Grande do Sul,34045,2016,NA,Todas
Rio de Janeiro,27529,2016,NA,Todas
Rondônia,7036,2016,NA,Todas
Roraima,1707,2016,NA,Todas
Santa Catarina,33289,2016,NA,Todas
Sergipe,12329,2016,NA,Todas
São Paulo,299936,2016,NA,Todas
Tocantins,4101,2016,NA,Todas
Acre,3809,2017,NA,Todas
Alagoas,11092,2017,NA,Todas
Amapá,2263,2017,NA,Todas
Amazonas,4657,2017,NA,Todas
Bahia,39362,2017,NA,Todas
Ceará,37535,2017,NA,Todas
Distrito Federal,14396,2017,NA,Todas
Espírito Santo,24431,2017,NA,Todas
Goiás,28620,2017,NA,Todas
Maranhão,5956,2017,NA,Todas
Mato Grosso,16249,2017,NA,Todas
Mato Grosso do Sul,14454,2017,NA,Todas
Minas Gerais,136705,2017,NA,Todas
Paraná,72252,2017,NA,Todas
Paraíba,22648,2017,NA,Todas
Pará,11119,2017,NA,Todas
Pernambuco,58513,2017,NA,Todas
Piauí,5771,2017,NA,Todas
Rio Grande do Norte,10706,2017,NA,Todas
Rio Grande do Sul,47048,2017,NA,Todas
Rio de Janeiro,17414,2017,NA,Todas
Rondônia,7300,2017,NA,Todas
Roraima,1700,2017,NA,Todas
Santa Catarina,36094,2017,NA,Todas
Sergipe,12763,2017,NA,Todas
São Paulo,299240,2017,NA,Todas
Tocantins,4972,2017,NA,Todas
Acre,3909,2018,NA,Todas
Alagoas,13579,2018,NA,Todas
Amapá,2143,2018,NA,Todas
Amazonas,6667,2018,NA,Todas
Bahia,56830,2018,NA,Todas
Ceará,40401,2018,NA,Todas
Distrito Federal,14352,2018,NA,Todas
Espírito Santo,23778,2018,NA,Todas
Goiás,30616,2018,NA,Todas
Maranhão,13849,2018,NA,Todas
Mato Grosso,15325,2018,NA,Todas
Mato Grosso do Sul,15498,2018,NA,Todas
Minas Gerais,128506,2018,NA,Todas
Paraná,73038,2018,NA,Todas
Paraíba,25721,2018,NA,Todas
Pará,16338,2018,NA,Todas
Pernambuco,59449,2018,NA,Todas
Piauí,10585,2018,NA,Todas
Rio Grande do Norte,13678,2018,NA,Todas
Rio Grande do Sul,73576,2018,NA,Todas
Rio de Janeiro,66227,2018,NA,Todas
Rondônia,7729,2018,NA,Todas
Roraima,2316,2018,NA,Todas
Santa Catarina,40128,2018,NA,Todas
Sergipe,12603,2018,NA,Todas
São Paulo,302907,2018,NA,Todas
Tocantins,5978,2018,NA,Todas
Acre,3804,2019,NA,Todas
Alagoas,16583,2019,NA,Todas
Amapá,2521,2019,NA,Todas
Amazonas,13976,2019,NA,Todas
Bahia,64766,2019,NA,Todas
Ceará,41199,2019,NA,Todas
Distrito Federal,14863,2019,NA,Todas
Espírito Santo,24756,2019,NA,Todas
Goiás,32234,2019,NA,Todas
Maranhão,20374,2019,NA,Todas
Mato Grosso,13510,2019,NA,Todas
Mato Grosso do Sul,16124,2019,NA,Todas
Minas Gerais,123437,2019,NA,Todas
Paraná,69982,2019,NA,Todas
Paraíba,27012,2019,NA,Todas
Pará,25578,2019,NA,Todas
Pernambuco,61664,2019,NA,Todas
Piauí,14581,2019,NA,Todas
Rio Grande do Norte,16488,2019,NA,Todas
Rio Grande do Sul,89448,2019,NA,Todas
Rio de Janeiro,137615,2019,NA,Todas
Rondônia,7856,2019,NA,Todas
Roraima,2303,2019,NA,Todas
Santa Catarina,41513,2019,NA,Todas
Sergipe,12616,2019,NA,Todas
São Paulo,311562,2019,NA,Todas
Tocantins,5961,2019,NA,Todas
Acre,2004,2020,NA,Todas
Alagoas,8885,2020,NA,Todas
Amapá,1099,2020,NA,Todas
Amazonas,9783,2020,NA,Todas
Bahia,28551,2020,NA,Todas
Ceará,24561,2020,NA,Todas
Distrito Federal,6602,2020,NA,Todas
Espírito Santo,11829,2020,NA,Todas
Goiás,14264,2020,NA,Todas
Maranhão,11460,2020,NA,Todas
Mato Grosso,5783,2020,NA,Todas
Mato Grosso do Sul,6724,2020,NA,Todas
Minas Gerais,54751,2020,NA,Todas
Paraná,30198,2020,NA,Todas
Paraíba,12235,2020,NA,Todas
Pará,14502,2020,NA,Todas
Pernambuco,32913,2020,NA,Todas
Piauí,5385,2020,NA,Todas
Rio Grande do Norte,7227,2020,NA,Todas
Rio Grande do Sul,36977,2020,NA,Todas
Rio de Janeiro,69722,2020,NA,Todas
Rondônia,3521,2020,NA,Todas
Roraima,1150,2020,NA,Todas
Santa Catarina,17695,2020,NA,Todas
Sergipe,5510,2020,NA,Todas
São Paulo,148831,2020,NA,Todas
Tocantins,2649,2020,NA,Todas
